#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_18:335873-336568|+ -            232 2809at766            -            212   4.1e-79  261.4  10.1   1   1   2.7e-79     3e-77  255.3  10.1     2   200     5   228     4   231 0.90 contig_18_323 # 335873 # 336568 # 1 # ID=5_323;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.326
contig_8:281273-281914|-  -            214 2809at766            -            212   3.9e-29   98.1   3.6   1   1   1.6e-30   1.7e-28   96.0   3.6     5   195     1   210     1   213 0.82 contig_8_277 # 281273 # 281914 # -1 # ID=19_277;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.315
contig_8:464831-465604|-  -            258 2809at766            -            212     7e-29   97.2   6.2   1   3   1.9e-11     2e-09   33.7   0.4     8    57     3    54     1    85 0.86 contig_8_456 # 464831 # 465604 # -1 # ID=19_456;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.335
contig_8:464831-465604|-  -            258 2809at766            -            212     7e-29   97.2   6.2   2   3      0.46        50   -0.3   0.0    12    30    87   105    73   109 0.82 contig_8_456 # 464831 # 465604 # -1 # ID=19_456;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.335
contig_8:464831-465604|-  -            258 2809at766            -            212     7e-29   97.2   6.2   3   3   3.3e-21   3.6e-19   65.5   0.5    80   204   113   242   107   247 0.86 contig_8_456 # 464831 # 465604 # -1 # ID=19_456;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.335
contig_18:384091-384792|+ -            234 2809at766            -            212   9.9e-28   93.5   3.6   1   2   9.6e-11     1e-08   31.3   0.1     2    55     2    55     1    61 0.95 contig_18_376 # 384091 # 384792 # 1 # ID=5_376;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.322
contig_18:384091-384792|+ -            234 2809at766            -            212   9.9e-28   93.5   3.6   2   2   2.9e-20   3.1e-18   62.4   1.0    84   193   112   224    90   232 0.84 contig_18_376 # 384091 # 384792 # 1 # ID=5_376;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.322
contig_8:146470-148179|+  -            570 2809at766            -            212   1.9e-26   89.3   0.4   1   2   1.6e-11   1.7e-09   33.9   0.0     6    54   332   383   328   391 0.87 contig_8_153 # 146470 # 148179 # 1 # ID=19_153;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.354
contig_8:146470-148179|+  -            570 2809at766            -            212   1.9e-26   89.3   0.4   2   2   2.5e-17   2.7e-15   52.8   0.1    94   180   463   546   450   565 0.86 contig_8_153 # 146470 # 148179 # 1 # ID=19_153;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.354
contig_8:112456-113214|+  -            253 2809at766            -            212   6.1e-26   87.6   0.2   1   2   1.1e-10   1.1e-08   31.2   0.0     6    52     6    52     1    59 0.90 contig_8_116 # 112456 # 113214 # 1 # ID=19_116;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
contig_8:112456-113214|+  -            253 2809at766            -            212   6.1e-26   87.6   0.2   2   2   7.5e-18   8.1e-16   54.6   0.2    94   192   143   241   122   250 0.86 contig_8_116 # 112456 # 113214 # 1 # ID=19_116;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
contig_18:76540-77214|-   -            225 2809at766            -            212   1.1e-23   80.2   1.0   1   3   2.8e-11     3e-09   33.1   0.3     5    51     6    53     3    65 0.86 contig_18_72 # 76540 # 77214 # -1 # ID=5_72;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.370
contig_18:76540-77214|-   -            225 2809at766            -            212   1.1e-23   80.2   1.0   2   3       2.2   2.4e+02   -2.5   0.0   170   190    61    81    58    95 0.68 contig_18_72 # 76540 # 77214 # -1 # ID=5_72;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.370
contig_18:76540-77214|-   -            225 2809at766            -            212   1.1e-23   80.2   1.0   3   3   4.6e-15     5e-13   45.4   0.0    85   161   127   203    95   217 0.92 contig_18_72 # 76540 # 77214 # -1 # ID=5_72;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.370
contig_18:322930-325725|+ -            932 2809at766            -            212   1.9e-20   69.7   3.7   1   4    0.0087      0.94    5.3   0.0    18    48    12    42     4    49 0.89 contig_18_312 # 322930 # 325725 # 1 # ID=5_312;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_18:322930-325725|+ -            932 2809at766            -            212   1.9e-20   69.7   3.7   2   4   4.9e-08   5.3e-06   22.5   0.0    88   191   465   577   445   591 0.78 contig_18_312 # 322930 # 325725 # 1 # ID=5_312;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_18:322930-325725|+ -            932 2809at766            -            212   1.9e-20   69.7   3.7   3   4    0.0022      0.24    7.3   0.2    16    48   609   641   599   653 0.86 contig_18_312 # 322930 # 325725 # 1 # ID=5_312;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_18:322930-325725|+ -            932 2809at766            -            212   1.9e-20   69.7   3.7   4   4   5.5e-11   5.9e-09   32.1   0.0    70   175   790   894   774   922 0.79 contig_18_312 # 322930 # 325725 # 1 # ID=5_312;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379
contig_8:57717-59498|-    -            594 2809at766            -            212     2e-18   63.1   1.7   1   3     0.077       8.3    2.2   0.1   138   176   244   282   239   289 0.90 contig_8_66 # 57717 # 59498 # -1 # ID=19_66;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.352
contig_8:57717-59498|-    -            594 2809at766            -            212     2e-18   63.1   1.7   2   3   2.4e-07   2.6e-05   20.2   0.1     6    55   344   394   339   401 0.89 contig_8_66 # 57717 # 59498 # -1 # ID=19_66;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.352
contig_8:57717-59498|-    -            594 2809at766            -            212     2e-18   63.1   1.7   3   3     1e-12   1.1e-10   37.8   0.0    97   195   476   573   458   583 0.81 contig_8_66 # 57717 # 59498 # -1 # ID=19_66;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.352
contig_8:204088-204711|-  -            208 2809at766            -            212   1.6e-17   60.1   0.0   1   2   6.2e-11   6.7e-09   32.0   0.0     5    55     1    51     1    55 0.95 contig_8_215 # 204088 # 204711 # -1 # ID=19_215;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.364
contig_8:204088-204711|-  -            208 2809at766            -            212   1.6e-17   60.1   0.0   2   2   3.4e-09   3.7e-07   26.3   0.0    81   160   107   185    92   195 0.87 contig_8_215 # 204088 # 204711 # -1 # ID=19_215;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.364
contig_8:881930-883705|-  -            592 2809at766            -            212   1.3e-16   57.2   3.7   1   3       4.1   4.4e+02   -3.4   0.1    85   111   265   292   263   299 0.70 contig_8_863 # 881930 # 883705 # -1 # ID=19_863;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.317
contig_8:881930-883705|-  -            592 2809at766            -            212   1.3e-16   57.2   3.7   2   3   1.4e-07   1.6e-05   21.0   0.2     6    54   348   397   345   451 0.89 contig_8_863 # 881930 # 883705 # -1 # ID=19_863;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.317
contig_8:881930-883705|-  -            592 2809at766            -            212   1.3e-16   57.2   3.7   3   3   2.5e-12   2.7e-10   36.5   0.1    92   193   475   575   463   587 0.78 contig_8_863 # 881930 # 883705 # -1 # ID=19_863;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.317
contig_18:33926-35671|+   -            582 2809at766            -            212   1.7e-16   56.8   0.4   1   4         5   5.4e+02   -3.7   0.0   101   113   307   319   301   321 0.85 contig_18_36 # 33926 # 35671 # 1 # ID=5_36;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_18:33926-35671|+   -            582 2809at766            -            212   1.7e-16   56.8   0.4   2   4   3.5e-07   3.7e-05   19.7   0.1    15    57   346   389   334   393 0.82 contig_18_36 # 33926 # 35671 # 1 # ID=5_36;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_18:33926-35671|+   -            582 2809at766            -            212   1.7e-16   56.8   0.4   3   4       1.7   1.8e+02   -2.1   0.0    60    69   413   422   410   432 0.83 contig_18_36 # 33926 # 35671 # 1 # ID=5_36;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_18:33926-35671|+   -            582 2809at766            -            212   1.7e-16   56.8   0.4   4   4   2.4e-11   2.6e-09   33.3   0.0   101   187   474   560   472   572 0.80 contig_18_36 # 33926 # 35671 # 1 # ID=5_36;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_18:268000-270405|- -            802 2809at766            -            212    0.0041   13.1   0.1   1   2   0.00012     0.012   11.5   0.0    25    53   441   469   439   477 0.86 contig_18_259 # 268000 # 270405 # -1 # ID=5_259;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.354
contig_18:268000-270405|- -            802 2809at766            -            212    0.0041   13.1   0.1   2   2       3.6   3.9e+02   -3.2   0.1   116   133   640   657   636   660 0.76 contig_18_259 # 268000 # 270405 # -1 # ID=5_259;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.354
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /private/groups/russelllab/jodie/busco_downloads/lineages/rickettsiales_odb10/hmms/2809at766.hmm
# Target file:     private/groups/russelllab/jodie/merrill_23_wRi_genome/flye/merge_bootcamp_data/unpolished_busco.txt/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout private/groups/russelllab/jodie/merrill_23_wRi_genome/flye/merge_bootcamp_data/unpolished_busco.txt/run_rickettsiales_odb10/hmmer_output/2809at766.out --cpu 1 /private/groups/russelllab/jodie/busco_downloads/lineages/rickettsiales_odb10/hmms/2809at766.hmm private/groups/russelllab/jodie/merrill_23_wRi_genome/flye/merge_bootcamp_data/unpolished_busco.txt/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /private/groups/russelllab/jodie
# Date:            Fri Jan 17 16:13:38 2025
# [ok]
