# BUSCO version is: 5.7.1 
# The lineage dataset is: rickettsiales_odb10 (Creation date: 2024-01-08, number of genomes: 34, number of BUSCOs: 364)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
3at766	Complete	contig	545399	536886	-	2071.8	1188	https://v10-1.orthodb.org/?query=3at766	DNA-directed RNA polymerase subunit beta'
12at766	Missing
14at766	Complete	contig	46098	49574	+	1381.8	896	https://v10-1.orthodb.org/?query=14at766	DNA polymerase III subunit alpha
22at766	Complete	contig	350112	354845	+	1446.9	1181	https://v10-1.orthodb.org/?query=22at766	NAD-glutamate dehydrogenase
43at766	Complete	contig	175769	173109	-	1153.6	681	https://v10-1.orthodb.org/?query=43at766	SecA, preprotein cross-linking domain
47at766	Complete	contig	386247	388757	+	1040.9	703	https://v10-1.orthodb.org/?query=47at766	DNA mismatch repair protein MutS
49at766	Complete	contig	368	3133	+	1090.2	716	https://v10-1.orthodb.org/?query=49at766	Pyruvate, phosphate dikinase
59at766	Complete	contig	106683	103336	-	714.6	622	https://v10-1.orthodb.org/?query=59at766	DNA helicase
60at766	Complete	contig	214987	218298	+	1315.1	802	https://v10-1.orthodb.org/?query=60at766	Isoleucine--tRNA ligase
100at766	Complete	contig	423392	425821	+	1031.9	610	https://v10-1.orthodb.org/?query=100at766	DNA gyrase subunit B
101at766	Complete	contig	276059	273417	-	963.6	672	https://v10-1.orthodb.org/?query=101at766	Alanine--tRNA ligase
117at766	Complete	contig	223186	220847	-	737.7	615	https://v10-1.orthodb.org/?query=117at766	Phenylalanine--tRNA ligase beta subunit
119at766	Complete	contig	55251	57704	+	1112.8	680	https://v10-1.orthodb.org/?query=119at766	Lon protease
129at766	Complete	contig	736471	739179	+	1220.4	753	https://v10-1.orthodb.org/?query=129at766	DNA gyrase subunit A
132at766	Complete	contig	270405	268000	-	1225.1	669	https://v10-1.orthodb.org/?query=132at766	CagE, TrbE, VirB component of type IV transporter system
150at766	Complete	contig	551909	549834	-	1040.7	575	https://v10-1.orthodb.org/?query=150at766	Elongation factor G
153at766	Complete	contig	511421	508905	-	1149.0	694	https://v10-1.orthodb.org/?query=153at766	Leucine--tRNA ligase
162at766	Complete	contig	347523	350084	+	1184.4	702	https://v10-1.orthodb.org/?query=162at766	Clp, N-terminal
170at766	Complete	contig	230410	228335	-	881.6	544	https://v10-1.orthodb.org/?query=170at766	Single hybrid motif
172at766	Complete	contig	475707	473638	-	969.4	588	https://v10-1.orthodb.org/?query=172at766	NADH-quinone oxidoreductase
176at766	Complete	contig	289869	287596	-	861.7	572	https://v10-1.orthodb.org/?query=176at766	Polyribonucleotide nucleotidyltransferase
197at766	Complete	contig	225864	227885	+	765.1	553	https://v10-1.orthodb.org/?query=197at766	Helicase, C-terminal
216at766	Complete	contig	379161	380945	+	1000.2	519	https://v10-1.orthodb.org/?query=216at766	Ribonucleoside-diphosphate reductase
222at766	Complete	contig	420511	417917	-	1046.1	663	https://v10-1.orthodb.org/?query=222at766	Aconitate hydratase
246at766	Complete	contig	588471	585826	-	1079.3	704	https://v10-1.orthodb.org/?query=246at766	2-oxoglutarate dehydrogenase E1 component
248at766	Complete	contig	591161	589344	-	658.4	471	https://v10-1.orthodb.org/?query=248at766	DNA mismatch repair protein MutL
255at766	Complete	contig	253923	255719	+	979.8	535	https://v10-1.orthodb.org/?query=255at766	Elongation factor 4
256at766	Complete	contig	344416	346245	+	956.9	532	https://v10-1.orthodb.org/?query=256at766	GTP-binding protein
257at766	Complete	contig	690395	692233	+	861.8	454	https://v10-1.orthodb.org/?query=257at766	Peptidase M41
283at766	Complete	contig	233514	235313	+	953.5	500	https://v10-1.orthodb.org/?query=283at766	Succinate dehydrogenase flavoprotein subunit
286at766	Complete	contig	401842	399266	-	933.1	666	https://v10-1.orthodb.org/?query=286at766	DNA polymerase I
300at766	Complete	contig	33926	35671	+	673.8	475	https://v10-1.orthodb.org/?query=300at766	ABC transporter type 1, transmembrane domain
311at766	Complete	contig	270708	273179	+	1051.7	669	https://v10-1.orthodb.org/?query=311at766	Valine--tRNA ligase
312at766	Complete	contig	36381	37931	+	880.7	474	https://v10-1.orthodb.org/?query=312at766	Cytochrome c oxidase subunit I
322at766	Complete	contig	300861	299113	-	549.7	432	https://v10-1.orthodb.org/?query=322at766	Heat shock protein 70 family
348at766	Complete	contig	376486	374585	-	884.0	502	https://v10-1.orthodb.org/?query=348at766	Threonine--tRNA ligase
349at766	Complete	contig	332388	330466	-	971.0	542	https://v10-1.orthodb.org/?query=349at766	Chaperone protein DnaK
350at766	Complete	contig	557913	555895	-	1041.0	488	https://v10-1.orthodb.org/?query=350at766	Type IV secretion system protein TraG/VirD4
363at766	Complete	contig	793671	795323	+	612.4	457	https://v10-1.orthodb.org/?query=363at766	S1 domain
364at766	Complete	contig	862369	864819	+	1006.9	664	https://v10-1.orthodb.org/?query=364at766	DNA topoisomerase I, type IA
377at766	Complete	contig	694326	696044	+	698.2	488	https://v10-1.orthodb.org/?query=377at766	potassium transporter
382at766	Complete	contig	26006	27547	+	741.5	407	https://v10-1.orthodb.org/?query=382at766	ATP synthase subunit alpha
383at766	Complete	contig	407373	405706	-	508.1	370	https://v10-1.orthodb.org/?query=383at766	Peptidase M24
384at766	Complete	contig	95698	97344	+	626.8	385	https://v10-1.orthodb.org/?query=384at766	Methionine--tRNA ligase
392at766	Complete	contig	620753	618858	-	880.5	529	https://v10-1.orthodb.org/?query=392at766	Histidine kinase/HSP90-like ATPase
400at766	Complete	contig	313340	314809	+	666.2	419	https://v10-1.orthodb.org/?query=400at766	Glutamyl-tRNA(Gln) amidotransferase subunit A
404at766	Complete	contig	516188	514650	-	556.4	355	https://v10-1.orthodb.org/?query=404at766	leucyl aminopeptidase
