#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_18:33926-35671|+   -            582 300at766             -            479  8.9e-204  673.8   8.5   1   1  1.7e-205    2e-203  672.6   8.5     4   479    18   562    15   562 0.90 contig_18_36 # 33926 # 35671 # 1 # ID=5_36;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_8:57717-59498|-    -            594 300at766             -            479   3.8e-48  160.5   0.4   1   2         1   1.2e+02   -2.7   0.2   227   227   169   169    97   215 0.60 contig_8_66 # 57717 # 59498 # -1 # ID=19_66;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.352
contig_8:57717-59498|-    -            594 300at766             -            479   3.8e-48  160.5   0.4   2   2   3.3e-50   3.8e-48  160.5   0.4   259   478   337   566   305   567 0.90 contig_8_66 # 57717 # 59498 # -1 # ID=19_66;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.352
contig_8:146470-148179|+  -            570 300at766             -            479   1.3e-47  158.8   0.2   1   1   1.1e-49   1.3e-47  158.8   0.2   274   478   346   556   307   557 0.94 contig_8_153 # 146470 # 148179 # 1 # ID=19_153;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.354
contig_8:881930-883705|-  -            592 300at766             -            479   2.4e-43  144.7   1.2   1   2     0.026         3    2.6   1.5    94   169   139   212   102   237 0.71 contig_8_863 # 881930 # 883705 # -1 # ID=19_863;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.317
contig_8:881930-883705|-  -            592 300at766             -            479   2.4e-43  144.7   1.2   2   2   2.1e-45   2.4e-43  144.7   1.2   265   477   347   569   294   571 0.91 contig_8_863 # 881930 # 883705 # -1 # ID=19_863;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.317
contig_8:464831-465604|-  -            258 300at766             -            479   2.1e-26   88.9   0.5   1   1   2.1e-28   2.5e-26   88.6   0.5   276   470    16   214     3   224 0.84 contig_8_456 # 464831 # 465604 # -1 # ID=19_456;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.335
contig_18:76540-77214|-   -            225 300at766             -            479   4.7e-26   87.7   0.4   1   1   4.9e-28   5.7e-26   87.4   0.4   275   468    20   220     6   223 0.85 contig_18_72 # 76540 # 77214 # -1 # ID=5_72;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.370
contig_18:384091-384792|+ -            234 300at766             -            479     4e-25   84.6   1.3   1   1   4.3e-27     5e-25   84.3   1.3   274   478    17   219     1   220 0.79 contig_18_376 # 384091 # 384792 # 1 # ID=5_376;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.322
contig_18:335873-336568|+ -            232 300at766             -            479   7.5e-22   73.8   1.1   1   1   1.2e-23   1.4e-21   72.9   1.1   274   479    20   217     3   217 0.84 contig_18_323 # 335873 # 336568 # 1 # ID=5_323;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.326
contig_8:281273-281914|-  -            214 300at766             -            479   1.6e-20   69.4   1.3   1   1   6.1e-21   7.1e-19   64.0   1.3   272   471    11   195     3   202 0.82 contig_8_277 # 281273 # 281914 # -1 # ID=19_277;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.315
