#seq_name	length	coverage
contig_7	1772	21
contig_6	444	56
contig_13	576	15
contig_12	569	11
contig_20	2027	40
contig_10	3594	62
contig_32	2074	99
contig_14	3602	89
contig_28	779	20
contig_9	4824	57
contig_33	2374	227
contig_15	3461	50
contig_16	4385	65
contig_11	3536	90
contig_26	2219	340
contig_2	2239	430
contig_30	1045	291
contig_25	910	587
contig_31	2132	308
contig_23	5768	314
contig_34	1256	19734
contig_35	2292	19831
contig_36	38009	436
contig_27	872	19
contig_29	1384	19
contig_39	24490	812
contig_18	447292	215
contig_8	902718	197
