#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_8:152800-154473|+ -            558 740at766             -            464  3.2e-206  681.7   3.0   1   1  1.3e-206  3.6e-204  674.9   3.0     5   464    29   556    24   556 0.90 contig_8_158 # 152800 # 154473 # 1 # ID=19_158;partial=00;start_type=TTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.381
contig_8:270708-273179|+ -            824 740at766             -            464     1e-05   20.6   0.0   1   2   4.5e-05     0.013   10.4   0.0    54   122    35   103    27   151 0.84 contig_8_269 # 270708 # 273179 # 1 # ID=19_269;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.384
contig_8:270708-273179|+ -            824 740at766             -            464     1e-05   20.6   0.0   2   2   0.00026     0.073    7.9   0.1   294   330   546   582   519   704 0.73 contig_8_269 # 270708 # 273179 # 1 # ID=19_269;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.384
contig_8:461599-462972|- -            458 740at766             -            464   2.2e-05   19.5   0.9   1   2   4.5e-05     0.013   10.4   0.1    66   105    35    74    19   140 0.79 contig_8_452 # 461599 # 462972 # -1 # ID=19_452;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.338
contig_8:461599-462972|- -            458 740at766             -            464   2.2e-05   19.5   0.9   2   2   0.00034     0.095    7.5   0.1   296   341   270   316   259   327 0.84 contig_8_452 # 461599 # 462972 # -1 # ID=19_452;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.338
contig_8:508905-511421|- -            839 740at766             -            464    0.0002   16.4   0.0   1   2     3e-06   0.00085   14.3   0.0    61    93    36    68    17    71 0.84 contig_8_509 # 508905 # 511421 # -1 # ID=19_509;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.386
contig_8:508905-511421|- -            839 740at766             -            464    0.0002   16.4   0.0   2   2      0.13        37   -1.0   0.0   291   326   606   641   597   651 0.87 contig_8_509 # 508905 # 511421 # -1 # ID=19_509;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.386
contig_8:95698-97344|+   -            549 740at766             -            464   0.00046   15.2   0.0   1   2   7.2e-05      0.02    9.7   0.0    68   120    21    73     8   141 0.84 contig_8_101 # 95698 # 97344 # 1 # ID=19_101;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.400
contig_8:95698-97344|+   -            549 740at766             -            464   0.00046   15.2   0.0   2   2     0.008       2.3    3.0   0.0   296   365   334   404   323   450 0.75 contig_8_101 # 95698 # 97344 # 1 # ID=19_101;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.400
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /private/groups/russelllab/jodie/busco_downloads/lineages/rickettsiales_odb10/hmms/740at766.hmm
# Target file:     private/groups/russelllab/jodie/merrill_23_wRi_genome/flye/merge_bootcamp_data/unpolished_busco.txt/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout private/groups/russelllab/jodie/merrill_23_wRi_genome/flye/merge_bootcamp_data/unpolished_busco.txt/run_rickettsiales_odb10/hmmer_output/740at766.out --cpu 1 /private/groups/russelllab/jodie/busco_downloads/lineages/rickettsiales_odb10/hmms/740at766.hmm private/groups/russelllab/jodie/merrill_23_wRi_genome/flye/merge_bootcamp_data/unpolished_busco.txt/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /private/groups/russelllab/jodie
# Date:            Fri Jan 17 16:13:39 2025
# [ok]
