#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_18:161342-162712|- -            457 540at766             -            373  1.2e-164  544.0  26.7   1   1  2.2e-162  5.2e-160  528.8  26.7     1   373     1   448     1   448 0.85 contig_18_155 # 161342 # 162712 # -1 # ID=5_155;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.392
contig_8:47162-48535|+    -            458 540at766             -            373   1.2e-82  274.2  13.2   1   2   1.4e-27   3.2e-25   85.2   0.4     1    94     1   108     1   115 0.83 contig_8_56 # 47162 # 48535 # 1 # ID=19_56;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370
contig_8:47162-48535|+    -            458 540at766             -            373   1.2e-82  274.2  13.2   2   2   2.7e-59   6.2e-57  189.5   7.2    83   372   120   449   108   450 0.82 contig_8_56 # 47162 # 48535 # 1 # ID=19_56;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370
contig_18:20198-21136|-   -            313 540at766             -            373   2.8e-11   39.3   0.5   1   1   8.9e-13   2.1e-10   36.4   0.5     5   218     9   248     5   292 0.69 contig_18_22 # 20198 # 21136 # -1 # ID=5_22;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.390
contig_18:379036-380052|+ -            339 540at766             -            373   1.2e-06   24.1   0.9   1   2     6e-08   1.4e-05   20.5   0.4     4   144     3   160     1   185 0.56 contig_18_371 # 379036 # 380052 # 1 # ID=5_371;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.362
contig_18:379036-380052|+ -            339 540at766             -            373   1.2e-06   24.1   0.9   2   2      0.08        19    0.4   0.0   227   242   273   288   261   296 0.79 contig_18_371 # 379036 # 380052 # 1 # ID=5_371;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.362
contig_18:407382-409316|- -            645 540at766             -            373   9.1e-05   17.9   0.5   1   1   6.5e-07   0.00015   17.1   0.5     1    35     1    35     1    54 0.84 contig_18_399 # 407382 # 409316 # -1 # ID=5_399;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.396
contig_8:233514-235313|+  -            600 540at766             -            373   0.00027   16.3   0.5   1   2     3e-06   0.00071   14.9   0.1     2    34    11    43    10    60 0.92 contig_8_237 # 233514 # 235313 # 1 # ID=19_237;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.429
contig_8:233514-235313|+  -            600 540at766             -            373   0.00027   16.3   0.5   2   2      0.82   1.9e+02   -3.0   0.0   338   367   520   549   476   551 0.81 contig_8_237 # 233514 # 235313 # 1 # ID=19_237;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.429
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /private/groups/russelllab/jodie/busco_downloads/lineages/rickettsiales_odb10/hmms/540at766.hmm
# Target file:     private/groups/russelllab/jodie/merrill_23_wRi_genome/flye/merge_bootcamp_data/unpolished_busco.txt/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout private/groups/russelllab/jodie/merrill_23_wRi_genome/flye/merge_bootcamp_data/unpolished_busco.txt/run_rickettsiales_odb10/hmmer_output/540at766.out --cpu 1 /private/groups/russelllab/jodie/busco_downloads/lineages/rickettsiales_odb10/hmms/540at766.hmm private/groups/russelllab/jodie/merrill_23_wRi_genome/flye/merge_bootcamp_data/unpolished_busco.txt/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /private/groups/russelllab/jodie
# Date:            Fri Jan 17 16:13:39 2025
# [ok]
